炉号,C_Yield_true,C_Yield_predict
7A06878             ,0.9134050902467444,0.9184660628490974
7A06877             ,0.8665180820370342,0.9071540818401773
7A06876             ,1.0120279358510091,1.025896915234213
7A06875             ,0.8672229301108418,0.9213210507949084
7A06874             ,0.9795853396474192,0.9350471909306564
7A06873             ,0.9705121572684946,0.9786438540912792
7A06872             ,1.029550787340032,1.0208538715968283
7A06871             ,0.9158804029070508,0.8731646674766944
7A06870             ,0.6927795589871099,0.8137041977523021
7A06869             ,0.9984926572908052,0.9555363067396594
7A06868             ,0.9736024287201744,0.9850643111380689
7A06867             ,0.9148885696587901,0.9298758810381309
7A06864             ,0.8276655008225692,0.8626928953160129
7A06862             ,0.8469693477759853,0.8679775846752157
7A06861             ,0.9246935386214548,0.906386164809542
7A06860             ,0.7158685482274673,0.7411598500767884
7A06859             ,0.8187237590883155,0.7882012513756339
7A06858             ,0.8158977212749845,0.8407224779846058
7A06857             ,0.7537696151485929,0.756670394354422
7A06856             ,0.8057834475297511,0.8777742543966693
7A06855             ,0.7831224143984611,0.8435843757332688
7A06854             ,0.9333091699891264,0.9183126982016444
7A06853             ,0.8656863838396711,0.8131551278441301
7A06852             ,0.7846013744126604,0.7774527920501619
7A06851             ,0.6326564039916892,0.6407231591810314
7A06850             ,0.8521073156566286,0.8443247913310374
7A06849             ,0.920092408999674,0.8902007299531102
7A06848             ,0.8827773817143588,0.9340624598035723
7A06847             ,0.8747053203112977,0.9185930514881832
7A06846             ,0.9897968628347736,0.9806405052305345
7A06845             ,0.9128050351503552,0.9517211250984323
7A06836             ,0.9830517763437324,0.9868292028147094
7A06835             ,1.0031699754731822,0.9581727542375427
7A06834             ,0.9199087305245691,0.8792038187221173
7A06833             ,0.94049575170283,0.9575932240517447
7A06832             ,0.8873151038132719,0.900044534200802
7A06829             ,0.9289998891457244,1.0074625534890276
7A06828             ,0.7717560214367596,0.8284124269550405
7A06827             ,0.914102649257247,0.8991366654362346
7A06826             ,0.8442383971251315,0.8658502936036451
7A06825             ,0.8631632598315361,0.8954243983462917
7A06824             ,0.9814855984277876,0.9602686493378622
7A06823             ,0.9017206634630288,0.8766930841024763
7A06822             ,0.8449665039935218,0.8398815056221651
7A06821             ,1.038564239951354,0.9675344656836684
7A06820             ,0.9306178562301164,0.9258516877727088
7A06819             ,0.9263920999028816,0.9229046014682546
7A06818             ,1.014498085902254,0.9557858688661748
7A06817             ,0.8099329147871791,0.8008013446474568
7A06816             ,0.9954618540939962,0.9718243331316706
7A06815             ,1.013389129238868,0.9451979984704929
7A06814             ,0.953717041397883,0.9338880851410689
7A06813             ,0.9438770572713371,0.862048417362847
7A06812             ,0.9065171231012141,0.8825034791448709
7A06811             ,1.0018293589213472,0.9380530588232546
7A06810             ,0.7988148702380186,0.7625174999516029
7A06809             ,0.8045973472875169,0.8503424393315443
7A06808             ,0.9048043142118748,0.8770000323577127
7A06807             ,0.8346998672288092,0.8566420547560747
7A06805             ,0.9041057336254577,0.9041057333992905
7A06804             ,0.8135018848861427,0.8353511844488838
7A06802             ,0.9447179114031308,0.9855147534230895
7A06801             ,0.9248827090588624,0.79895725295294
7A06800             ,0.8722826955021723,0.8675146259518918
7A06799             ,0.7271296813149339,0.7701584082319025
7A06798             ,0.9231091081515812,0.9179285985308246
7A06797             ,0.9370311349776812,0.9235905427190989
7A06796             ,0.8936202352805276,0.9293323656159467
7A06795             ,0.9895841893642484,0.9328861312482762
7A06793             ,0.9158427389453722,0.9227083897214853
7A06788             ,0.9966261091334148,0.96514271830913
7A06787             ,1.0302265430515003,1.0007148440061706
7A06786             ,0.7977513564882588,0.824938455862209
7A06785             ,0.8192329078613433,0.8467581930401047
7A06784             ,0.8110702398106926,0.893583530818376
7A06783             ,0.9216913228743998,0.9597929930602058
7A06782             ,0.8956551498419233,0.8689707444987026
7A06781             ,0.9111078032914676,0.8537335986259356
7A06780             ,1.0397535840057308,0.9721512699224429
7A06779             ,0.8164663889078825,0.906391611335876
7A06778             ,0.9228886168910648,0.9421950484768518
7A06777             ,0.7206395348837209,0.8628198883974302
7A06776             ,0.699939430648092,0.7680599543131826
7A06775             ,0.8321379520830154,0.8748554845949834
7A06774             ,0.9205713307900592,0.8952894987956659
7A06773             ,0.8284587255540281,0.9220888973447603
7A06772             ,0.8788768512500651,0.8854615411433798
7A06771             ,0.9059491483584301,0.9255617243588243
7A06770             ,0.8735681644338051,0.8644592878135199
7A06769             ,0.8444146032577843,0.9333870183904487
7A06768             ,0.9092357404043538,0.9293663066786105
7A06766             ,0.7055339299944831,0.7868292719846626
7A06765             ,0.7971602823096199,0.858950215266181
7A06763             ,0.9446713231566496,0.9826114062715461
7A06761             ,0.9673732466030148,1.014118051845623
7A06760             ,0.917827106653667,0.9509955181089351
7A06759             ,0.8878912679473064,0.9049526078298256
7A06758             ,1.0070364745941764,0.92021466546034
7A06757             ,1.004703676877849,0.9713131874627735
7A06756             ,0.9954651699332068,0.9389403958129994
7A06754             ,0.8912997870195261,0.9019137038948976
7A06753             ,0.9825021518095832,0.9861139320311567
7A06752             ,0.9215690548121934,0.8678218859865422
7A06751             ,0.8420535411724839,0.8600830087537175
7A06750             ,0.9297848632896204,0.9399631480853039
7A06749             ,1.0126716954223798,0.9197080969302859
7A06746             ,0.9430078062493816,0.9861949944976656
7A06745             ,0.9320104557947008,0.9570859946835536
7A06744             ,0.7106270578535833,0.6944834895113956
7A06743             ,0.9579455140464956,0.9927303659717706
7A06741             ,0.9609175870858114,0.9352675372029611
7A06740             ,0.9880649747942608,0.9940517929959063
7A06739             ,0.8481855425104752,0.8756167946193455
7A06738             ,0.9424458372685384,0.9551908618216669
7A06737             ,0.9086992115127752,0.8739587533477351
7A06736             ,0.9325324596529548,0.9457036204159324
7A06735             ,0.7794228796631216,0.8625378121325229
7A06734             ,0.9471197597524722,0.9339828611362259
7A06733             ,0.913773783388218,0.9355868480032054
7A06732             ,0.8073545723440965,0.7747967364671214
7A06731             ,0.9315155574222695,0.8928577350343151
7A06729             ,0.8454866016704856,0.8919470089576614
7A06728             ,0.9423009899295,0.9090420649378322
7A06727             ,0.8265285463625323,0.8642195038014153
7A06726             ,0.9421540672563126,0.9429834893021461
7A06725             ,0.9742628932057984,0.9556225003773702
7A06724             ,0.8852941900693153,0.9233904634444642
7A06723             ,0.8600406583393391,0.8795405070076837
7A06722             ,0.9314810138020354,0.9431021721098647
7A06721             ,0.9135519461186384,0.8696194115237633
7A06720             ,0.8975760776472884,0.8956139884180272
7A06719             ,0.9497993616121694,0.9268737247001562
7A06717             ,0.9670972640837032,0.9458362593844442
7A06716             ,0.9271483284407196,0.9148749984032812
7A06715             ,0.9836582125976951,0.9636827996255456
7A06714             ,0.7851209355930371,0.8256878405117423
7A06713             ,0.9157638225493409,0.8886994038405934
7A06711             ,0.8986790750045045,0.9201321848785355
7A06709             ,0.878736174841663,0.9041923181304288
7A06708             ,0.9500354165531522,0.919515687431142
7A06707             ,0.9995811311502204,0.9685991596699507
7A06703             ,0.823409285741587,0.908898804884301
7A06702             ,0.8706026460334438,0.8848683073568346
7A06701             ,0.8674674058104919,0.941099836452329
7A06700             ,0.9493729464574944,0.9676399417145196
7A06699             ,0.8629909463948413,0.8904704690053554
7A06698             ,0.8664932508436447,0.898038989568001
7A06697             ,0.9294415762158356,0.999816724339025
7A06696             ,0.8805235985202653,0.987826136880189
7A06695             ,0.8958420102734973,0.9679029313835337
7A06694             ,1.0002782351506279,0.9682382578035418
7A06693             ,1.0350017667364302,1.00847992968181
7A06692             ,0.9656451073786246,0.9894600043004056
7A06691             ,0.6604427378501537,0.7328067976221941
7A06690             ,0.7564256423325533,0.7523046009807641
7A06687             ,0.972470026661946,0.9396309288667716
7A06686             ,0.9911301782459606,0.9467940005848056
7A06685             ,0.9045349545763116,0.9374865147473558
7A06684             ,0.899130069288771,0.9368445348338346
7A06683             ,0.9119683548583406,0.9305301786623091
7A06680             ,0.9213691584908787,0.916627920641119
7A06679             ,0.9897866161772408,0.8847604242717826
7A06678             ,0.8706628477905072,0.8431920108554708
7A06677             ,0.9422641477190192,0.9074272832191003
7A06676             ,0.9951801426463732,0.9336299323522144
7A06675             ,1.0156514792039897,0.9901212334114997
7A06674             ,0.9633306547021137,0.8291209489243759
7A06673             ,0.9576789612496844,0.9104084626044473
7A06672             ,0.9122778679705528,0.940617915474563
7A06669             ,0.8090329523589515,0.8419598110828818
7A06668             ,0.8889011258990671,0.8800400855540814
7A06667             ,0.8794689404946922,0.8608608186433486
7A06666             ,0.7952193708609271,0.8336028308667632
7A06665             ,0.8375387181015278,0.8347660721360625
7A06664             ,0.8368908736794475,0.8133351079318054
7A06663             ,0.8808134324710379,0.9120049568016146
7A06662             ,0.9580969149407856,0.9034037058859037
7A06661             ,0.9180657176258322,0.8635429325873162
7A06660             ,0.9900816305663012,0.9314566678014579
7A06659             ,0.9320869781418002,0.8851511545728382
7A06657             ,0.9516331444469912,0.8787738138189398
7A06656             ,0.97691678166221,0.9068178242999981
7A06655             ,1.047419352119562,1.0340810711609107
7A06653             ,0.9826904418712458,0.9323048056360859
7A06652             ,0.940532415701982,0.8910825086010276
7A06651             ,0.9046317896282784,0.9171237695819995
7A06650             ,0.8700095730508577,0.8453866439681605
7A06649             ,0.9179011216776394,0.8999120662084893
7A06648             ,0.8579638140750117,0.8668015794890823
7A06647             ,0.8517077645459435,0.7950889029816118
7A06646             ,0.9308182756157568,0.8603236996412409
7A06645             ,0.9344868030018428,0.8462112424287404
7A06644             ,1.0068575906103336,0.9848165630463457
7A06643             ,0.9666666666666666,0.9956767684488492
7A06642             ,0.8511961744615713,0.8764800270770523
7A06641             ,0.8888091307156701,0.9203296885598945
7A06640             ,0.8700736553706816,0.8614003486705542
7A06639             ,0.906003373565579,0.84598975508159
7A06637             ,0.8102508111954171,0.8078068677698488
7A06636             ,0.8677945575319952,0.8739696440817032
7A06635             ,0.9785612343297972,0.8791604841906333
7A06634             ,0.7174466760080958,0.8059280932878449
7A06633             ,0.8714323309170078,0.8782396600201273
7A06631             ,1.040708260784681,0.9777639763410417
7A06629             ,0.9949393547677332,0.9667980660186422
7A06627             ,0.9506026141571888,0.9622724689089319
7A06625             ,0.9744309066072592,0.9507099037436462
7A06624             ,0.8707390425934295,0.9193762026681648
7A06623             ,1.0107899489379648,0.987107742655563
7A06622             ,0.9124379625249552,0.9706522102178712
7A06620             ,0.9225676911454812,0.9396778068413499
